id,name
0,США
1,Франция
2,СССР
3,Италия
4,Германия
5,Новая Зеландия
6,Великобритания
7,Польша
8,Япония
9,Испания
10,Россия
11,Бразилия
12,Индия
13,Гонконг
14,Канада
15,Ирландия
16,Дания
17,Эстония
