id,movie,year,country_id,rating_ball,overview,url_logo
62,Нокдаун ,2005,0,8.202,Потерпев несколько поражений кряду подававший надежды боксёр-тяжеловес Джим Брэддок вынужден бросить спорт. Во времена Великой депрессии Брэддок берётся за любую работу чтобы прокормить свою жену Мэй и детей. При этом он всё ещё надеется вернуться на ринг. И однажды ему предоставляется такой шанс. В последнюю минуту Джим заменяет другого боксёра и выходит на поединок с претендентом на титул чемпиона мира…,https://st.kp.yandex.net/images/film_iphone/iphone360_12244.jpg
63,Игра ,1997,0,8.252,Николас Ван Ортон — само воплощение успеха. Он преуспевает он невозмутим и спокоен привык держать любую ситуацию под контролем. На день рождения Николас получает необычный подарок — билет для участия в «Игре».Ему обещают что игра вернет яркие чувства позволит ощутить вкус и остроту жизни. Вступив в игру Николас начинает осознавать что это игра всерьез игра не на жизнь а на смерть.,https://st.kp.yandex.net/images/film_iphone/iphone360_12198.jpg
64,Храброе сердце ,1995,0,8.28,Действие фильма начинается в 1280 году в Шотландии. Это история легендарного национального героя Уильяма Уоллеса посвятившего себя борьбе с англичанами при короле Эдварде Длинноногом.Он рано лишился отца погибшего от рук англичан и его забрал к себе дядя Оргайл который дал ему хорошее образование в Европе. На родину Уильям возвращается уже взрослым человеком мечтающим завести семью и жить мирной жизнью.Но судьба распорядилась иначе. Его невесту убили англичане и он начал свой крестовый поход за свободу.,https://st.kp.yandex.net/images/film_iphone/iphone360_399.jpg
65,Шерлок Холмс и доктор Ватсон: Знакомство ,1979,2,8.555,Молодой доктор по фамилии Ватсон возвратился из Афганистана в родной туманный Лондон. Ему нужно недорогое жилье. И вот по совету друга он поселяется в маленьком домике на Бейкер-стрит. Его хозяйка — милая чудаковатая старушка миссис Хадсон. Также там имеется сосед — некий мистер Шерлок Холмс. Это непонятная и таинственная личность — к нему в гости приходят оборванцы и бандиты а иногда полицейские и лорды. Кто же он? Доктор в растерянности…,https://st.kp.yandex.net/images/film_iphone/iphone360_77269.jpg
66,Москва слезам не верит ,1979,2,8.374,"Москва пятидесятых годов. Три молодые провинциалки приезжают в Москву в поисках того что ищут люди во всех столицах мира — любви счастья и достатка. Их судьбы складываются именно так как предполагает характер каждой из девушек. 

Антонина выходит замуж растит детей любит мужа. Людмиле Москва представляется лотереей в которой она должна выиграть свое особенное счастье. Катерина же — отчаянно влюбляется но избранник ее оставляет. Однако она не опускает руки в одиночку растит дочь и к тому же успевает сделать блестящую карьеру. В сорок лет судьба дарит ей встречу с прекрасным человеком и настоящую любовь…",https://st.kp.yandex.net/images/film_iphone/iphone360_46708.jpg
67,Джентльмены ,2019,6,8.576,Один ушлый американец ещё со студенческих лет приторговывал наркотиками а теперь придумал схему нелегального обогащения с использованием поместий обедневшей английской аристократии и очень неплохо на этом разбогател. Другой пронырливый журналист приходит к Рэю правой руке американца и предлагает тому купить киносценарий в котором подробно описаны преступления его босса при участии других представителей лондонского криминального мира — партнёра-еврея китайской диаспоры чернокожих спортсменов и даже русского олигарха.,https://st.kp.yandex.net/images/film_iphone/iphone360_1143242.jpg
68,Гран Торино ,2008,4,8.131,Вышедший на пенсию автомеханик Уолт Ковальски проводит дни починяя что-то по дому попивая пиво и раз в месяц заходя к парикмахеру. И хотя последним желанием его недавно почившей жены было совершение им исповеди Уолту — ожесточившемуся ветерану Корейской войны всегда держащему свою винтовку наготове — признаваться в общем-то не в чем. Да и нет того кому он доверял бы в той полной мере в какой доверяет своей собаке Дейзи.Все те люди коих он некогда называл своими соседями либо переехали либо ушли в мир иной а на смену им пришли иммигранты которых он откровенно презирает. Противясь буквально всему во что упирается его взгляд — покосившиеся карнизы заросшие лужайки домов и лица иностранцев повсюду; бесцельно шатающиеся шайки подростков состоящие из хмонгов латиносов и афро-американцев полагающих что окрестный мир целиком принадлежит им одним; неоперившиеся чужаки в которых оказалось превратились собственные дети и внуки — Уолт просто неспешно проживает остаток своей жизни.До той самой ночи когда кто-то попытается украсть его «Гран Торино»…,https://st.kp.yandex.net/images/film_iphone/iphone360_408410.jpg
69,Одержимость ,2013,0,8.33,Эндрю мечтает стать великим. Казалось бы вот-вот его мечта осуществится. Юношу замечает настоящий гений дирижер лучшего в стране оркестра. Желание Эндрю добиться успеха быстро становится одержимостью а безжалостный наставник продолжает подталкивать его все дальше и дальше — за пределы человеческих возможностей. Кто выйдет победителем из этой схватки?,https://st.kp.yandex.net/images/film_iphone/iphone360_725190.jpg
70,Прислуга ,2011,0,8.164,Американский Юг на дворе 1960-е годы. Скитер только-только закончила университет и возвращается домой в сонный городок Джексон где никогда ничего не происходит. Она мечтает стать писательницей вырваться в большой мир. Но для приличной девушки с Юга не пристало тешиться столь глупыми иллюзиями приличной девушке следует выйти замуж и хлопотать по дому.Мудрая Эйбилин на тридцать лет старше Скитер она прислуживает в домах белых всю свою жизнь вынянчила семнадцать детей и давно уже ничего не ждет от жизни ибо сердце ее разбито после смерти единственного сына.Минни — самая лучшая стряпуха во всем Джексоне а еще она самая дерзкая служанка в городе. И острый язык не раз уже сослужил ей плохую службу. На одном месте Минни никогда подолгу не задерживается. Но с Минни лучше не связываться даже самым высокомерным белым дамочкам. Двух черных служанок и белую неопытную девушку объединяет одно — обостренное чувство справедливости и желание хоть как-то изменить порядок вещей. Смогут ли эти трое противостоять целому миру? Сумеют ли они выжить в этой борьбе?,https://st.kp.yandex.net/images/film_iphone/iphone360_470553.jpg
71,Человек дождя ,1988,0,8.246,У Чарли грубоватого и эгоистичного молодого повесы в наследство от отца остались лишь розовые кусты да «Бьюик» 49-го года. Внезапным «сюрпризом» для него стало открытие того что львиная доля наследства оставлена отцом его больному аутизмом брату Раймонду.Задавшись целью отобрать свою «справедливую долю» семейного достояния Чарли похищает старшего брата и держит его заложником. Но то что было задумано им из эгоизма перерастает в волшебную одиссею дружбы и самоосмысления которая разводит границы обособленного мира Раймонда а Чарли позволяет вырваться из оков своей некогда бесчувственной души.,https://st.kp.yandex.net/images/film_iphone/iphone360_519.jpg
72,Изгой ,2000,0,8.252,Герой этого фильма Чак Ноланд — сотрудник всемирно известной службы доставки «Федерал Экспресс». Чак — скрупулезный практик и неисправимый педант. Жизнь Ноланда высокопоставленного инспектора международных отделений «ФедЕкс» расписана по минутам. И этих драгоценных минут катастрофически не хватает ни на личную жизнь ни на любимую женщину…Однако безжалостная судьба заставила Ноланда иначе взглянуть на отпущенное ему время… Самолет на котором путешествует Чак падает в океан. Инженер единственный кому посчастливилось остаться в живых попадает на необитаемый остров. Здесь Ноланду предстоит провести мучительно долгие годы в жестокой битве за выживание…,https://st.kp.yandex.net/images/film_iphone/iphone360_627.jpg
73,Летят журавли ,1957,2,8.29,Рассказ о людях в чьи судьбы безжалостно вторглась война. Не все смогли с честью вынести это испытание. В центре киноповести — трагическая история двух влюбленных которых разлучила война.,https://st.kp.yandex.net/images/film_iphone/iphone360_7724.jpg
74,Шестое чувство ,1999,0,8.172,Детский психиатр Малкольм Кроу сталкивается со странным случаем: девятилетнего Коула посещают страшные видения — призраки умерших. Все эти люди когда-то были убиты и теперь они обрушивают на малыша свой гнетущий страх и отчаянный гнев.Как врач Малкольм бессилен помочь. Но как человек он пытается найти ключ к ужасному миру Коула в котором веет дыханием смерти и распускаются страшные цветы боли.,https://st.kp.yandex.net/images/film_iphone/iphone360_395.jpg
75,Зверополис ,2016,0,8.293,Добро пожаловать в Зверополис — современный город населенный самыми разными животными от огромных слонов до крошечных мышек. Зверополис разделен на районы полностью повторяющие естественную среду обитания разных жителей — здесь есть и элитный район Площадь Сахары и неприветливый Тундратаун. В этом городе появляется новый офицер полиции жизнерадостная зайчиха Джуди Хоппс которая с первых дней работы понимает как сложно быть маленькой и пушистой среди больших и сильных полицейских. Джуди хватается за первую же возможность проявить себя несмотря на то что ее партнером будет болтливый хитрый лис Ник Уайлд. Вдвоем им предстоит раскрыть сложное дело от которого будет зависеть судьба всех обитателей Зверополиса.,https://st.kp.yandex.net/images/film_iphone/iphone360_775276.jpg
76,Офицеры ,1971,2,8.452,Судьбы двух друзей — Алексея Трофимова и Ивана Вараввы — прослеживаются на протяжении многих лет. В 20-е они вместе служили на пограничной заставе бились с басмачами. Там они будучи еще совсем молодыми на всю жизнь запомнили наказ своего командира: «Есть такая профессия — родину защищать». Потом Испания Великая Отечественная война и мирные дни. Старые друзья снова встречаются уже став генералами.,https://st.kp.yandex.net/images/film_iphone/iphone360_42736.jpg
77,Спасти рядового Райана ,1998,0,8.178,Капитан Джон Миллер получает тяжелое задание. Вместе с отрядом из восьми человек Миллер должен отправиться в тыл врага на поиски рядового Джеймса Райана три родных брата которого почти одновременно погибли на полях сражений.Командование приняло решение демобилизовать Райана и отправить его на родину к безутешной матери. Но для того чтобы найти и спасти солдата крошечному отряду придется пройти через все круги ада…,https://st.kp.yandex.net/images/film_iphone/iphone360_371.jpg
78,Малыш ,1921,0,8.24,Фильм «Малыш» стал первым полнометражным фильмом Чаплина-режиссера. Актера на главную роль Малыша — пятилетнего Джекки Кугана — Чаплин нашел на сцене где ребенок выступал на равных со взрослыми. Джекки оказался прирожденным актером и схватывал все на лету.Фильм «Малыш» — это история ребенка брошенного матерью вскоре после рождения. После цепи приключений подкидыша находит житель трущоб бедный Чарли который учит ребенка тому что знает сам.,https://st.kp.yandex.net/images/film_iphone/iphone360_2127.jpg
79,Эффект бабочки ,2003,0,8.167,Мальчик Эван перенял от своего отца-психопата ныне запертого в доме для умалишённых странную болезнь — он не помнит некоторых эпизодов своей жизни причем в эти моменты происходили довольно странные а то и ужасные события. Возмужав и поступив в колледж Эван делает удивительное открытие. Читая дневники которые он писал в детстве по совету врача Эван может возвращаться в детство и своими действиями менять будущее.,https://st.kp.yandex.net/images/film_iphone/iphone360_5167.jpg
80,В погоне за счастьем ,2006,0,8.248,Крис Гарднер — отец-одиночка. Воспитывая пятилетнего сына Крис изо всех сил старается сделать так чтобы ребенок рос счастливым. Работая продавцом он не может оплатить квартиру и их выселяют.Оказавшись на улице но не желая сдаваться отец устраивается стажером в брокерскую компанию рассчитывая получить должность специалиста. Только на протяжении стажировки он не будет получать никаких денег а стажировка длится 6 месяцев…,https://st.kp.yandex.net/images/film_iphone/iphone360_104938.jpg
81,Белый Бим Черное ухо ,1976,2,8.371,Трогательная лирическая киноповесть о судьбе собаки теряющей любимого хозяина об отношении людей к «братьям меньшим» которое как рентгеном просвечивает души выявляя в одних низость и мелочную подлость а в других — благородство способность сострадать и любить…,https://st.kp.yandex.net/images/film_iphone/iphone360_46068.jpg
82,Судьба человека ,1959,2,8.368,Фильм рассказывает о русском солдате которого война подвергла страшным испытаниям лишила дома и семьи бросила в концлагерь. Но судьба не сломила его дух — он выжил отстоял своё право быть человеком сохранил способность любить…,https://st.kp.yandex.net/images/film_iphone/iphone360_44027.jpg
83,Красавица и чудовище ,1991,0,8.269,В заколдованном замке скрытом в темном лесу живет ужасное Чудовище. Растопить лед в его сердце и вернуть ему человеческий облик сняв заклятие может только прекрасная девушка которая полюбит его таким какой он есть.,https://st.kp.yandex.net/images/film_iphone/iphone360_540.jpg
84,Назад в будущее 2 ,1989,0,8.288,Продолжение фантастической истории о приключениях американского подростка во времени. На этот раз с помощью модернизированной Доком машины времени Марти из 80-х попадает в будущее.Дети Марти в беде и их надо выручать. Приходится повозиться со злодеем…,https://st.kp.yandex.net/images/film_iphone/iphone360_5502.jpg
85,Дневник памяти ,2004,0,8.255,Это история отношений юноши и девушки из разных социальных слоев живших в Южной Каролине. Ной и Элли провели вместе незабываемое лето пока их не разделили вначале родители а затем Вторая мировая война.После войны все изменилось: Элли обручилась с удачливым бизнесменом а Ной жил наедине со своими воспоминаниями в старинном доме который ему удалось отреставрировать. Когда Элли прочла об этом в местной газете она поняла: ей нужно найти его и решить наконец судьбу их любви…,https://st.kp.yandex.net/images/film_iphone/iphone360_3561.jpg
86,Укрощение строптивого ,1980,3,8.384,Категорически не приемлющий женского общества грубоватый фермер вполне счастлив и доволен своей холостяцкой жизнью. Но неожиданно появившаяся в его жизни женщина пытается изменить его взгляды на жизнь и очаровать его.,https://st.kp.yandex.net/images/film_iphone/iphone360_63912.jpg
87,Однажды в Америке ,1983,0,8.274,В бурные двадцатые годы когда Америка веселилась под звуки джаза и каждый бродяга мечтал стать миллионером в трущобах Нью-Йорка встретились несколько отчаянных парней. Убирая с дороги конкурентов безжалостно карая предателей и нагло проворачивая хитроумные аферы они стали королями преступного мира золотой эры «сухого закона». Они поклялись отдать жизнь друг за друга зная что самое главное для них — это дружба долг и справедливость — не утопить в реках крови и бездонном океане денег. Спустя много лет судьба жестоко обошлась с легендарными гангстерами заставив их исполнить свою клятву. Это случилось однажды в Америке…,https://st.kp.yandex.net/images/film_iphone/iphone360_469.jpg
88,Римские каникулы ,1953,0,8.272,В Рим с официальным визитом прибывает юная принцесса Анна. Дни её расписаны по минутам — приемы посещения фабрик интервью… в общем тоска! Она совсем девчонка ей хочется свободы и она убегает из дворца на улицу где гуляют поют и целуются жители Вечного города.Увы незадолго до побега доктор сделал ей укол снотворного и принцесса засыпает на скамейке. А мимо проходит возвращающийся домой после вечера за карточным столом американский журналист Джо Брэдли. Рано утром по заданию редактора он должен быть на пресс-конференции у принцессы Анны которую он в глаза никогда не видел…,https://st.kp.yandex.net/images/film_iphone/iphone360_497.jpg
89,Унесенные ветром ,1939,0,8.381,Могучие ветры Гражданской войны в один миг уносят беззаботную юность южанки Скарлетт О`Хара когда привычный шум балов сменяется грохотом канонад на подступах к родному дому. Для молодой женщины вынужденной бороться за новую жизнь на разоренной земле испытания и лишения становятся шансом переосмыслить идеалы обрести веру в себя и найти настоящую любовь.,https://st.kp.yandex.net/images/film_iphone/iphone360_456.jpg
90,Служебный роман ,1977,2,8.29,Анатолий Ефремович Новосельцев рядовой служащий одного статистического управления — человек робкий и застенчивый. Для него неплохо бы получить вакантное место зав. отделом но он не знает как подступиться к этому делу. Старый приятель Самохвалов советует ему приударить за Людмилой Прокофьевной Калугиной — сухарем в юбке и директором заведения…,https://st.kp.yandex.net/images/film_iphone/iphone360_43869.jpg
91,Балто ,1995,0,8.328,Наполовину лайка наполовину волк Балто и сам не знает кто он такой на самом деле. Всеми гонимый бродяга в ледяной пустыне Аляски. Только его друзья русский полярный гусь Борис медвежата Мак и Лак и красавица-лайка Дженна уверены что хотя он и не такой как все но в его груди бьется благородное сердце.Однажды случается несчастье. Эпидемия дифтерии охватила детей небольшого поселка а свирепая вьюга сделала непроходимыми все дороги. Лишь собачья упряжка может преодолеть шестьсот миль через ослепляющий арктический шторм и привезти спасительное лекарство.Но собаки сбились с дороги где-то на замерзших просторах. Теперь только Балто может найти упряжку и спасти детей а заодно стать героем и настоящей легендой!,https://st.kp.yandex.net/images/film_iphone/iphone360_7097.jpg
92,Темный рыцарь: Возрождение легенды ,2012,6,8.137,Восемь лет назад Бэтмен растворился в ночи превратившись из героя в беглеца. Приняв на себя вину за смерть прокурора Харви Дента он пожертвовал всем. Вместе с комиссаром Гордоном они решили что так будет лучше для всех. Пока преступность была раздавлена антикриминальным актом Дента ложь действовала.Тем не менее еще опаснее становится появление нового врага Бэйна чье лицо закрыто маской. Он разворачивает в Готэме чудовищную деятельность и это вынуждает Брюса Уэйна выйти из импровизированного изгнания. Однако даже надев свой костюм Бэтмен может проиграть Бэйну. Но с появлением хитрой воровки по прозвищу Женщина — Кошка с загадочным прошлым всё меняется.,https://st.kp.yandex.net/images/film_iphone/iphone360_437410.jpg
93,Жизнь других ,2006,4,8.07,Сто тысяч сотрудников двести тысяч информаторов. Вместе они — щит и меч партии знаменитое Штази. Их метод — подозрение. Жизнь других — их профессия.Популярный писатель и драматург Георг Драйман так бы и дожил до конца своих дней обласканный вниманием благодарных читателей и абсолютно неинтересный для спецслужб если бы не роман с известной театральной актрисой. Слишком известной чтобы остаться незамеченной влиятельным чиновником из ЦК. Так в жизни Драймана появляются специалисты из Штази.,https://st.kp.yandex.net/images/film_iphone/iphone360_126196.jpg
94,Счастливое число Слевина ,2005,4,8.112,Слевину не везет. Дом опечатан девушка ушла к другому… Его друг Ник уезжает из Нью-Йорка и предлагает Слевину пожить в пустой квартире. В это время крупный криминальный авторитет по прозвищу Босс хочет рассчитаться со своим бывшим партнером за убийство сына и в отместку «заказать» его наследника.,https://st.kp.yandex.net/images/film_iphone/iphone360_86326.jpg
95,Адвокат дьявола ,1997,0,8.164,В Нью-Йорк по приглашению главы крупного юридического концерна прибывает Кевин Ломакс молодой адвокат. До этого он был известен тем что защищал исключительно негодяев и притом не проиграл ни одного процесса. На новом месте работы он вполне счастлив он живет в роскошной квартире с любящей женой его окружают интересные люди.,https://st.kp.yandex.net/images/film_iphone/iphone360_3797.jpg
96,Амадей ,1984,0,8.154,1781 год. Антонио Сальери успешно справляется с обязанностями придворного композитора при императоре Иосифе II. Когда же при дворе появляется Моцарт Сальери к своему ужасу обнаруживает что божественный музыкальный дар которым он так желает обладать был отпущен какому-то непристойному проказливому шуту. Ослепленный завистью он замышляет во что бы то ни стало уничтожить Моцарта…,https://st.kp.yandex.net/images/film_iphone/iphone360_397.jpg
97,Зеленая книга ,2018,0,8.348,1960-е годы. После закрытия нью-йоркского ночного клуба на ремонт вышибала Тони по прозвищу Болтун ищет подработку на пару месяцев. Как раз в это время Дон Ширли утонченный светский лев богатый и талантливый чернокожий музыкант исполняющий классическую музыку собирается в турне по южным штатам где ещё сильны расистские убеждения и царит сегрегация. Он нанимает Тони в качестве водителя телохранителя и человека способного решать текущие проблемы. У этих двоих так мало общего и эта поездка навсегда изменит жизнь обоих.,https://st.kp.yandex.net/images/film_iphone/iphone360_1108577.jpg
98,…А в душе я танцую ,2004,6,8.11,Майклу 24 года и почти всю свою жизнь он провел в доме для инвалидов куда попал с церебральным параличом. Он знакомится с новым пациентом клиники — Рори О’Ши которого приковала к инвалидной коляске мышечная атрофия. Как и Майкл он практически не может передвигаться но это не мешает Рори по-своему наслаждаться жизнью. Его смелость и безразличие к ударам судьбы становятся отличным примером для Майкла.,https://st.kp.yandex.net/images/film_iphone/iphone360_84014.jpg
99,Они сражались за Родину ,1975,2,8.378,Июль 1942 года. На подступах к Сталинграду обескровленные измотанные советские войска ведут тяжелые оборонительные бои неся огромные потери… Фильм рассказывает о подвиге рядовых солдат любви к родной земле об истинной цене победы…,https://st.kp.yandex.net/images/film_iphone/iphone360_42770.jpg
100,Шерлок Холмс и доктор Ватсон: Смертельная схватка ,1980,2,8.423,Шерлок Холмс вступил в смертельную схватку с главарем английской преступности профессором Мориарти. В сети полиции попали все кроме главаря и друзья на время решили укрыться в тихой Швейцарии. Но от гнева Мориарти ещё не ускользал никто.,https://st.kp.yandex.net/images/film_iphone/iphone360_354799.jpg
101,Ходячий замок ,2004,8,8.278,Злая ведьма заточила 18-летнюю Софи в тело старухи. Девушка-бабушка бежит из города куда глаза глядят и встречает удивительный дом на ножках где знакомится с могущественным волшебником Хаулом и демоном Кальцифером. Кальцифер должен служить Хаулу по договору условия которого он не может разглашать. Девушка и демон решают помочь друг другу избавиться от злых чар.,https://st.kp.yandex.net/images/film_iphone/iphone360_49684.jpg
102,Гонка ,2013,6,8.081,70-е годы XX века. Золотое время «Формулы-1»: обтекаемые формы гоночных машин брутальные на треке и ранимые в обычной жизни гонщики сексуальные поклонницы литры шампанского на финише для победителя… Два непримиримых соперника в истории гонок — обаятельный плейбой-англичанин Джеймс Хант и дисциплинированный перфекционист-австриец Ники Лауда — доводят себя до предела физической и психологической выносливости ради триумфа на трассе. Для них нет легких путей к победе и права на ошибку. Единственный промах гонщикам может стоить карьеры и даже жизни.,https://st.kp.yandex.net/images/film_iphone/iphone360_596125.jpg
103,Брат ,1997,10,8.23,Демобилизованный из армии Данила Багров вернулся в родной городок. Но скучная жизнь российской провинции не устраивала его и он решился податься в Петербург где по слухам уже несколько лет процветает его старший брат. Данила нашел брата. Но все оказалось не так просто — брат был наемным убийцей…,https://st.kp.yandex.net/images/film_iphone/iphone360_41519.jpg
104,Баллада о солдате ,1959,2,8.251,Великая Отечественная война. Молодой солдат Алёша Скворцов совершает подвиг — подбивает два немецких танка. Командование собирается представить его к ордену но Алёша просит дать ему отпуск чтобы повидаться с мамой. Путь домой оказывается долог и непрост.,https://st.kp.yandex.net/images/film_iphone/iphone360_46019.jpg
105,Малышка на миллион ,2004,0,8.074,Тренеру по боксу Фрэнку Данну так и не удалось воспитать чемпиона. Он владеет спортивным залом в Лос-Анджелесе где всё ещё проводит тренировки. Дочь не отвечает на его письма а его лучший боец подписал контракт с другим менеджером. Неожиданно в жизни Фрэнка появляется Мэгги Фицжеральд 31-летняя официантка мечтающая стать боксером. Фрэнк не желает тренировать женщину но упорство Мэгги заставляет его передумать. Впереди — их главное сражение требующее собрать в кулак всю волю и мужество.,https://st.kp.yandex.net/images/film_iphone/iphone360_81297.jpg
106,Хоббит: Нежданное путешествие ,2012,0,8.06,Хоббит Бильбо Бэггинс пускается в грандиозный поход целью которого является отвоевание утраченного королевства гномов Эребор у дракона Смауга. Совершенно неожиданно с хоббитом налаживает контакт волшебник Гэндальф Серый. Так Бильбо находит себя и присоединяется к компании тринадцати гномов возглавляемых легендарным воином Торином Дубощитом. Их путешествие пройдёт через Дикий Край предательские земли населенные гоблинами и орками смертоносными варгами гигантскими пауками меняющим шкуры народом и волшебниками.И хотя их цель находится на Востоке среди пустошей Одинокой Горы сначала им придется выбраться из туннелей гоблинов где Бильбо встретит существо которое изменит его жизнь навсегда — Голлума.,https://st.kp.yandex.net/images/film_iphone/iphone360_278522.jpg
107,Девчата ,1962,2,8.356,В сибирский поселок приехала юная повариха Тося Кислицына — наивная и эксцентричная девчонка. Она сует свой нос во все дела каждому стремится помочь. Местный красавец Илья на спор заводит с Тосей роман сопровождающийся массой комичных ситуаций…,https://st.kp.yandex.net/images/film_iphone/iphone360_44168.jpg
108,Свидетель обвинения ,1957,0,8.161,Сэр Уилфрид Робартс — тяжело больной адвокат которому врачи запретили заниматься уголовными делами. Выполнить их рекомендации он смог только благодаря заботливой домашней медсестре мисс Плимсолл. Но когда его поверенный приводит к нему домой подозреваемого в убийстве Леонарда Воула Робартс не может устоять и соглашается вести дело.,https://st.kp.yandex.net/images/film_iphone/iphone360_489.jpg
109,Шерлок Холмс и доктор Ватсон: Кровавая надпись ,1979,2,8.413,В первой серии мы оказываемся свидетелями знакомства Шерлока Холмса с доктором Ватсоном. Во второй — Шерлок Холмс раскроет тайну «кровавой надписи» и выследит загадочного неуловимого убийцу.,https://st.kp.yandex.net/images/film_iphone/iphone360_77265.jpg
