id,movie,year,country_id,rating_ball,overview,url_logo
14,Операция «Ы» и другие приключения Шурика ,1965,2,8.712,Фильм состоит из трех новелл объединенных фигурой главного героя Шурика попадающего в самые невероятные ситуации. В «Напарнике» Шурик сражается с хулиганом Верзилой; в «Наваждении» весьма оригинальным способом готовится к экзамену; в «Операции «Ы» предотвращает «ограбление века» на которое идет знаменитая тройка — Балбес Трус и Бывалый.,https://st.kp.yandex.net/images/film_iphone/iphone360_42782.jpg
15,Престиж ,2006,0,8.523,Роберт и Альфред — фокусники-иллюзионисты которые на рубеже XIX и XX веков соперничали друг с другом в Лондоне. С годами их дружеская конкуренция на профессиональной почве перерастает в настоящую войну.Они готовы на все чтобы выведать друг у друга секреты фантастических трюков и сорвать их исполнение. Непримиримая вражда вспыхнувшая между ними начинает угрожать жизни окружающих их людей…,https://st.kp.yandex.net/images/film_iphone/iphone360_195334.jpg
16,Игры разума ,2001,0,8.555,От всемирной известности до греховных глубин — все это познал на своей шкуре Джон Форбс Нэш-младший. Математический гений он на заре своей карьеры сделал титаническую работу в области теории игр которая перевернула этот раздел математики и практически принесла ему международную известность.Однако буквально в то же время заносчивый и пользующийся успехом у женщин Нэш получает удар судьбы который переворачивает уже его собственную жизнь.,https://st.kp.yandex.net/images/film_iphone/iphone360_530.jpg
17,Интерстеллар ,2014,0,8.591,Когда засуха пыльные бури и вымирание растений приводят человечество к продовольственному кризису коллектив исследователей и учёных отправляется сквозь червоточину (которая предположительно соединяет области пространства-времени через большое расстояние) в путешествие чтобы превзойти прежние ограничения для космических путешествий человека и найти планету с подходящими для человечества условиями.,https://st.kp.yandex.net/images/film_iphone/iphone360_258687.jpg
18,Властелин колец: Возвращение Короля ,2003,5,8.623,Последняя часть трилогии о Кольце Всевластия и о героях взявших на себя бремя спасения Средиземья. Повелитель сил Тьмы Саурон направляет свои бесчисленные рати под стены Минас-Тирита крепости Последней Надежды. Он предвкушает близкую победу но именно это и мешает ему заметить две крохотные фигурки — хоббитов приближающихся к Роковой Горе где им предстоит уничтожить Кольцо Всевластия. Улыбнется ли им счастье?,https://st.kp.yandex.net/images/film_iphone/iphone360_3498.jpg
19,Гладиатор ,2000,0,8.577,В великой Римской империи не было военачальника равного генералу Максимусу. Непобедимые легионы которыми командовал этот благородный воин боготворили его и могли последовать за ним даже в ад.Но случилось так что отважный Максимус готовый сразиться с любым противником в честном бою оказался бессилен против вероломных придворных интриг. Генерала предали и приговорили к смерти. Чудом избежав гибели Максимус становится гладиатором.Быстро снискав себе славу в кровавых поединках он оказывается в знаменитом римском Колизее на арене которого он встретится в смертельной схватке со своим заклятым врагом…,https://st.kp.yandex.net/images/film_iphone/iphone360_474.jpg
20,Назад в будущее ,1985,0,8.626,Подросток Марти с помощью машины времени сооружённой его другом-профессором доком Брауном попадает из 80-х в далекие 50-е. Там он встречается со своими будущими родителями ещё подростками и другом-профессором совсем молодым.,https://st.kp.yandex.net/images/film_iphone/iphone360_476.jpg
21,Карты деньги два ствола ,1998,6,8.547,Четверо молодых парней накопили каждый по 25 тысяч фунтов чтобы один из них мог сыграть в карты с опытным шулером и матерым преступником известным по кличке Гарри-Топор. Парень в итоге проиграл 500 тысяч на уплату долга ему дали неделю.В противном случае и ему и его «спонсорам» каждый день будут отрубать по пальцу а потом… Чтобы выйти из положения ребята решили ограбить бандитов решивших ограбить трех «ботаников» выращивающих марихуану для местного наркобарона. Но на этом приключения четверки не заканчиваются…,https://st.kp.yandex.net/images/film_iphone/iphone360_522.jpg
22,Матрица ,1999,0,8.49,Жизнь Томаса Андерсона разделена на две части: днём он — самый обычный офисный работник получающий нагоняи от начальства а ночью превращается в хакера по имени Нео и нет места в сети куда он не смог бы дотянуться. Но однажды всё меняется — герой сам того не желая узнаёт страшную правду: всё что его окружает — не более чем иллюзия Матрица а люди — всего лишь источник питания для искусственного интеллекта поработившего человечество. И только Нео под силу изменить расстановку сил в этом чужом и страшном мире.,https://st.kp.yandex.net/images/film_iphone/iphone360_301.jpg
23,Бриллиантовая рука ,1968,2,8.516,В южном городке орудует шайка «валютчиков» возглавляемая Шефом и его помощником Графом (в быту — Геной Козодоевым). Скромный советский служащий и примерный семьянин Семен Семенович Горбунков отправляется в зарубежный круиз на теплоходе на котором также плывет Граф который должен забрать бриллианты в одном из восточных городов и провезти их в загипсованной руке. Но в силу недоразумения вместо жулика на условленном месте падает ничего не подозревающий Семен Семенович и драгоценный гипс накладывают ему. Вот тут-то все и начинается…,https://st.kp.yandex.net/images/film_iphone/iphone360_46225.jpg
24,Отступники ,2006,0,8.455,Два лучших выпускника полицейской академии оказались по разные стороны баррикады: один из них — агент мафии в рядах правоохранительных органов другой — «крот» внедрённый в мафию. Каждый считает своим долгом обнаружить и уничтожить противника но постоянная жизнь в искажённых реалиях меняет внутренний мир героев.,https://st.kp.yandex.net/images/film_iphone/iphone360_81314.jpg
25,Поймай меня если сможешь ,2002,0,8.513,Фрэнк Эбегнейл успел поработать врачом адвокатом и пилотом на пассажирской авиалинии — и все это до достижения полного совершеннолетия в 21 год. Мастер в обмане и жульничестве он также обладал искусством подделки документов что в конечном счете принесло ему миллионы долларов которые он получил по фальшивым чекам.Агент ФБР Карл Хэнрэтти отдал бы все чтобы схватить Фрэнка и привлечь к ответственности за свои деяния но Фрэнк всегда опережает его на шаг заставляя продолжать погоню.,https://st.kp.yandex.net/images/film_iphone/iphone360_324.jpg
26,Пианист ,2002,7,8.462,Фильм снят по автобиографии Владислава Шпильмана одного из лучших пианистов Польши 30-х годов прошлого века. Главный герой фильма — Владек — занимается искусством до тех пор пока территорию Польши не занимают нацисты. Жизнь всех евреев меняется: их помещают в Варшавское гетто запрещают работать унижают заставляют носить отличительные повязки а через некоторое время отправляют в концлагерь.,https://st.kp.yandex.net/images/film_iphone/iphone360_355.jpg
27,Властелин колец: Братство кольца ,2001,0,8.57,Сказания о Средиземье — это хроника Великой войны за Кольцо войны длившейся не одну тысячу лет. Тот кто владел Кольцом получал власть над всеми живыми тварями но был обязан служить злу. Тихая деревня где живут хоббиты. Волшебник Гэндальф придя на 111-й день рождения к своему старому другу Бильбо Бэггинсу начинает вести разговор о кольце которое Бильбо нашел много лет назад. Это кольцо принадлежало когда-то темному властителю Средиземья Саурону и оно дает большую власть своему обладателю. Теперь Саурон хочет вернуть себе власть над Средиземьем. Бильбо отдает найденное кольцо своему племяннику Фродо который пытается научиться справляться с тем страшным могуществом которое дает ему кольцо…,https://st.kp.yandex.net/images/film_iphone/iphone360_328.jpg
28,В бой идут одни «старики» ,1973,2,8.709,"Эта эскадрилья стала «поющей» — так капитан Титаренко подбирал себе новичков. Его «старикам» было не больше двадцати но «желторотиков» пополнение из летных училищ ускоренного выпуска в бой все равно по возможности не пускали. 

Им еще многое предстояло испытать — и жар боев и радость первой победы над врагом и величие братства скрепленного кровью и первую любовь и горечь утраты… И настанет день когда по команде «в бой идут одни старики» бывшие желторотики бросятся к своим самолетам…",https://st.kp.yandex.net/images/film_iphone/iphone360_25108.jpg
